priority,tier,name,category,village,phone,website,budget,authority,need,timeline,sources
"100","HOT","American Painting","painting contractor","Yigo","(671) 687-2720","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Backflow Guam","plumbing contractor","","(671) 898-4851","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Barrett Plumbing Inc","plumbing contractor","","(671) 734-5246","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Guam Plumbing Service","plumbing contractor","","(671) 647-7473","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Katrein Plumbing Service","plumbing contractor","","(671) 734-1163","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Plumbing Pros","plumbing contractor","","(671) 482-9887","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Greenscapes, LLC","landscape contractor","","(671) 789-0408","","High","Owner","High","TBD","https://www.eguamdirectory.com+hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"100","HOT","GPF Corporation","landscape contractor","","(671) 632-1543","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Guam Tropical Landscaping","landscape contractor","","(671) 646-3756","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Barrett Plumbing & Pumping","plumber","Chalan Pago-Ordot","(671) 734-5246","","High","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"100","HOT","DDCL Corp","hvac / electrical contractor","","(671) 480-7084","","High","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"100","HOT","Express Care","health clinic","Tamuning","(671) 477-2873","","High","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"100","HOT","Guam Plaza Resort & Spa","resort","Tumon","(671) 646-7803","","High","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"100","HOT","Hafa Adai Family Dental","dentist","Tamuning","(671) 649-7851","","High","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"100","HOT","Pediatric Dental Center","pediatric dentist","Hagatna","(671) 477-6235","","High","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"100","HOT","Barrett Enterprises Inc. dba Barrett Plumbing","plumber","","(671) 734-5246","","High","Owner","High","TBD","Guam Chamber of Commerce member directory (business.guamchamber.com.gu/directory), alphabetical member listings A-W"
"100","HOT","Golden Key Construction Corporation","construction contractor","","(671) 488-6915","","High","Owner","High","TBD","Guam Chamber of Commerce member directory (business.guamchamber.com.gu/directory), alphabetical member listings A-W"
"100","HOT","Philippine Medical & Dental Referral Services","medical/dental referral","","(671) 637-5433","","High","Owner","High","TBD","Guam Chamber of Commerce member directory (business.guamchamber.com.gu/directory), alphabetical member listings A-W"
"100","HOT","Sheraton Laguna Guam Resort","hotel","Tamuning","(671) 646-2222","","High","Owner","High","TBD","osm"
"90","HOT","369 Dim Sum","restaurant","","(671) 477-5569","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","A+ Restaurant","restaurant","","(671) 649-1123","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","AAFES BK Express","restaurant","","(671) 653-0782","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Ajisen Ramen Guam","restaurant","Tamuning","(671) 649-8896","","Med","Owner","High","TBD","guamphonebook.com+https://www.eguamdirectory.com"
"90","HOT","Aloha Grill","restaurant","","(671) 633-3666","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Angus Black Steakhouse","restaurant","","(671) 989-2647","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Applebee's","restaurant","Tamuning","(671) 648-2337","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Arashi Restaurant","restaurant","","(671) 633-4443","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Arirang","restaurant","","(671) 633-6666","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Bamboo Restaurant","restaurant","","(671) 649-0191","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Ban Thai Restaurant","restaurant","Tamuning","(671) 649-2437","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Barney's Seafood Restaurant","restaurant","","(671) 646-1009","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Beachin' Shrimp","restaurant","","(671) 642-3224","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Ben 'N Yan's Place","restaurant","","(671) 649-3869","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Benii A Japanese Restaurant","restaurant","","(671) 647-1090","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","BJ BBQ","restaurant","","(671) 646-7600","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Broil Boil Bake","restaurant","","(671) 637-3578","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Cabalen Fast Food","restaurant","","(671) 649-3663","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","California Pizza Kitchen Guam","restaurant","","(671) 647-4888","","Med","Owner","High","TBD","guamphonebook.com+osm"
"90","HOT","Calvi House","restaurant","","(671) 646-6678","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Carmen's ChaChaCha","restaurant","","(671) 472-7823","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Bay Shore Grill","bar & grill","","(671) 565-2814","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Bob's Whispering Palms","bar & grill","","(671) 472-8271","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Livehouse","bar & grill","","(671) 647-4055","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Saigon Pearl Lounge","bar & grill","","(671) 632-6615","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Shooters","bar & grill","","(671) 472-3322","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Sumay Pub & Grill","bar & grill","","(671) 565-2377","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","The Asan Sunset Grill","bar & grill","","(671) 969-5873","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Aboonky Beauty Salon","beauty salon","Barrigada","(671) 646-2266","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Amor's Beauty Salon","beauty salon","","(671) 649-2217","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Anna's Beauty Shop","beauty salon","","(671) 646-2762","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Baby's Tropic Beauty and Barber Shop","beauty salon","","(671) 632-1078","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Beautiworks!","beauty salon","","(671) 477-4316","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Beauty Fashion","beauty salon","","(671) 653-7989","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","BuzzCutz and Ponytailz","beauty salon","","(671) 472-2899","","Med","Owner","High","TBD","guamphonebook.com+osm"
"90","HOT","Chalan Pago Beauty Salon","beauty salon","Chalan Pago","(671) 734-3652","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Debbie's Shear Excellence","beauty salon","","(671) 565-1794","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Divina's Beauty & Barber Shop","beauty salon","Mongmong","(671) 472-6286","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Dolores Beauty Shop","beauty salon","","(671) 632-4505","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Domani HairDesign","beauty salon","","(671) 646-2343","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Elegant Nails","nail salon","","(671) 646-6844","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Entre Nous Salon","beauty salon","","(671) 649-7593","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Fely & Remy's Fashion Cut","beauty salon","","(671) 653-3663","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Grace Beauty Shop","beauty salon","","(671) 647-3060","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Haane Beauty Salon","beauty salon","","(671) 472-1983","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Hafa Adai Beauty Shop","beauty salon","","(671) 646-4941","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Hair Dresser By Kimberly","beauty salon","","(671) 472-5466","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Hair House Beauty Salon","beauty salon","Hagatna","(671) 472-8055","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Hair Signature","beauty salon","Tamuning","(671) 647-7575","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Hair Top Beauty Salon","beauty salon","","(671) 637-3509","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Hair Town Beauty & Barber Shop","beauty salon","","(671) 649-3737","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Hairview Beauty & Barber Shop","beauty salon","","(671) 789-8805","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","It's Your Hair","beauty salon","","(671) 477-2833","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Jovels Beauty & Barber Shop","beauty salon","","(671) 565-3361","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Lalaine's Beauty Parlor","beauty salon","","(671) 646-3764","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Lovely Nails","nail salon","","(671) 646-6244","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Magic Mirror Hair Salon","beauty salon","","(671) 646-8102","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Magic Nails","nail salon","","(671) 633-6242","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Appliance Specialist","appliance repair","","(671) 687-8253","","Med","Owner","High","TBD","guamphonebook.com+hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Mike's Appliance & Small Engine Repair","appliance repair","","(671) 477-1634","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Willie's Appliance Service","appliance repair","","(671) 646-4662","","Med","Owner","High","TBD","guamphonebook.com"
"90","HOT","Premier Dentistry","dentist","Tamuning","(671) 300-3221","premierdentistryguam.com","High","Owner","Med","TBD","guamphonebook.com+Yelp (yelp.com)"
"90","HOT","Future Smiles Orthodontics","dentist","Tamuning","(671) 648-9888","futuresmilesortho.com","High","Owner","Med","TBD","guamphonebook.com+hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Pacific Smiles Orthodontics","dentist","Tamuning","(671) 646-7846","bracesguam.com","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","PFC Insurance","insurance","Tamuning","(671) 647-6820","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","AB Risk Solutions","insurance","Tumon","(671) 646-3681","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","Alpha Insurers","insurance","Hagatna","(671) 477-8701","","High","Owner","Med","TBD","guamphonebook.com+https://www.eguamdirectory.com"
"90","HOT","AM Insurance","insurance","Hagatna","(671) 477-2632","","High","Owner","Med","TBD","guamphonebook.com+https://www.eguamdirectory.com"
"90","HOT","AON Risk Services","insurance","","(671) 646-4445","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","Century Insurance (Guam) Ltd","insurance","","(671) 648-0609","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","Expo Insurance","insurance","","(671) 647-4250","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","Great National Insurance Underwriters Inc","insurance","Dededo","(671) 632-5296","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","Island Home Insurance Company","insurance","","(671) 477-9423","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","Life Investment Consultant Inc","insurance","","(671) 646-8119","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","MCMV Insurance Services","insurance","","(671) 647-1912","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","Moylan's Insurance Underwriters, Inc.","insurance","Harmon","(671) 632-3783","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","Pacific Insurance Underwriters","insurance","","(671) 649-0008","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","Quan Allan Insurance Agency","insurance","","(671) 477-8387","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","The Money Tree Inc","insurance","","(671) 477-0365","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","Toran Agency","insurance","","(671) 649-0331","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","Staywell Insurance","health insurance","Maite","(671) 477-5091","","High","Owner","Med","TBD","guamphonebook.com"
"90","HOT","A/C Island","air conditioning","Barrigada","(671) 688-9182","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","A/C Sales & Services, Inc.","air conditioning","Tamuning","(671) 787-5888","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Cabuhat Tech Services","air conditioning","Barrigada","(671) 637-7308","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","A=Professional Carpet Cleaning","carpet cleaning","","(671) 632-1400","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Nayon Express Restaurant","restaurant","Tamuning","(671) 637-5223","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","TGI Friday's","restaurant","Tumon","(671) 647-8443","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","9th Street Rotary","restaurant","Hagatna","(671) 472-8862","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Ban Thai Restaurant","restaurant","","(671) 649-2437","","Med","Owner","High","TBD","https://www.eguamdirectory.com+osm"
"90","HOT","Beachin' Shrimp","restaurant","Tumon","(671) 642-3224","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Mama Tita's","pizza restaurant","","(671) 734-4100","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Blended Cafe","coffee shop","Dededo","(671) 632-2233","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Brewed Awakenings","coffee shop","Harmon","(671) 989-2793","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Cafe Panadero","coffee shop","Yigo","(671) 653-2110","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Coffee Beanery","coffee shop","Tamuning","(671) 633-5761","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Figaro Guam","coffee shop","Tamuning","(671) 648-4889","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Hava Java Cafe","coffee shop","Hagatna","(671) 477-0600","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Java Hut Coffee Shop","coffee shop","Tamuning","(671) 647-5282","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Hebrew Worldwide Cafe & Bookstore","coffee shop","Barrigada","(671) 477-6341","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Ace Auto Port","auto repair","Yigo","(671) 969-8271","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","AAA Morrico Equipment LLC","equipment dealer","Tamuning","(671) 649-1946","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","Access Medical Transport","medical transport","Upper Tumon","(671) 646-6970","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","Island Grace Spa","spa/massage","Tamuning","(671) 647-8280","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Kontenda Fitness Club","fitness center","","(671) 647-9280","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Synergy Studio","fitness center","","(671) 472-9642","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","The Gym Guahan","fitness center","Maite","(671) 472-4496","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Absolute Realty","real estate","Hagatna","(671) 989-8003","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","Century 21 Commonwealth Realty","real estate","Tamuning","(671) 649-2121","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","Century 21 Realty Management","real estate","Tamuning","(671) 647-5003","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","Charlie Labrador Coral Sea Realty","real estate","Agana Heights","(671) 477-6824","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","BHI Realty - Christina Au","real estate","","(671) 637-7431","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","C. A. Paulino & Associates","insurance","Hagatna","(671) 477-0022","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","Cassidy's Insurance","insurance","","(671) 472-8834","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","Great National Insurance Underwriters Inc","insurance","Tamuning","(671) 646-5736","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","Guahan Insurance Services","insurance","Hagatna","(671) 475-1162","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","Insurance Professionals","insurance","Dededo","(671) 969-5555","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","MCMV Insurance Services","insurance","Tamuning","(671) 647-1912","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","Aioi Nissay Dowa Insurance","insurance","Tumon","(671) 648-5350","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","Beck Enterprises","construction","","(671) 646-4486","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","Bob's Nursery","nursery/landscape","","(671) 637-2627","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Island Guide Map","publications","","(671) 734-8181","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","Ada's Funeral Home & Mortuary","funeral home","","(671) 477-1311","","High","Owner","Med","TBD","https://www.eguamdirectory.com"
"90","HOT","Cabras Marine Corporation","ship repair","Piti","(671) 477-1818","","Med","Owner","High","TBD","https://www.eguamdirectory.com"
"90","HOT","H2O Spa Guam","spa","Tamuning","(671) 989-8796","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Pono Hawaiian Grill Guam","restaurant","Piti","(671) 686-6718","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Proline Automotive","auto accessories","Tamuning","(671) 646-5528","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Agana Day Spa","day spa","Agana Heights","(671) 788-1980","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Alpha Plus","insurance","Hagatna","(671) 477-8701","","High","Owner","Med","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Barefoot Bay Cotton Fabrics & Quilts","fabric shop","Tamuning","(671) 989-7130","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Carlson Gracie MAFA Guam","martial arts gym","Tamuning","(671) 788-0440","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Code 1 Law Enforcement Store","tactical gear retail","Tamuning","(671) 649-0021","","High","Owner","Med","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Guam Muay Thai","muay thai gym","Mangilao","(671) 487-7718","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Guam Tropical Dive Station","scuba diving","Hagatna","(671) 648-4837","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Harley-Davidson of Guam","motorcycle dealer","Mongmong-Toto-Maite","(671) 472-4003","","High","Owner","Med","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Isle Properties Guam","real estate","","(671) 687-5028","","High","Owner","Med","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Mantrasana Fitness Studio","fitness studio","Tamuning","(671) 929-9922","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Moda Ginos","restaurant","Tamuning","(671) 477-8945","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Pearl Factory Jewelry","jewelry store","Dededo","(671) 969-5899","","High","Owner","Med","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","ProClean AC","ac cleaning","Tamuning","(671) 482-9501","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Rockit Ride Indoor Cycling Studio","fitness / cycling","Mongmong-Toto-Maite","(671) 646-7433","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Spike 22 Athletics","athletics / gym","Tamuning","(671) 797-7745","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
"90","HOT","Steel Athletics","gym","Tamuning","(671) 929-8795","","Med","Owner","High","TBD","hafaguam.com (Guam business directory /guam-businesses). Note: guamfoody.com was inaccessible (HTTP 403 Forbidden on www and apex), so no records were mined from it."
